repository,url,lineage,core_68_overlap,evidence_state,captured_at,reconciled_at
Abdulsadiqsamadani/Event-identify-web,https://github.com/Abdulsadiqsamadani/Event-identify-web,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
CODECUBE-001/litecss,https://github.com/CODECUBE-001/litecss,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/Around-The-World,https://github.com/MMansy19/Around-The-World,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/Bidayya,https://github.com/MMansy19/Bidayya,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/E-Commerce-React-Websie,https://github.com/MMansy19/E-Commerce-React-Websie,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/E-Commerce-Website,https://github.com/MMansy19/E-Commerce-Website,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/Hurass-Al-Thughur,https://github.com/MMansy19/Hurass-Al-Thughur,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/IntelliChat,https://github.com/MMansy19/IntelliChat,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/Muslim-Routine-Tracker,https://github.com/MMansy19/Muslim-Routine-Tracker,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/ResultRendition,https://github.com/MMansy19/ResultRendition,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/Space-Tourism-Website,https://github.com/MMansy19/Space-Tourism-Website,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/Telemedicine-App,https://github.com/MMansy19/Telemedicine-App,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
MMansy19/cdss-xray-app,https://github.com/MMansy19/cdss-xray-app,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Mediasoft-Cie-S-A/auto-post-gpt,https://github.com/Mediasoft-Cie-S-A/auto-post-gpt,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Mediasoft-Cie-S-A/formeditor.ms,https://github.com/Mediasoft-Cie-S-A/formeditor.ms,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
NVC-FYP/C3-experimental,https://github.com/NVC-FYP/C3-experimental,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
UroojFatim/Mahila,https://github.com/UroojFatim/Mahila,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
WatchOutNewsAgency/wona.github.com,https://github.com/WatchOutNewsAgency/wona.github.com,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
YannVanneth/asset-generator,https://github.com/YannVanneth/asset-generator,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
admin-dashboards/react-dashboards,https://github.com/admin-dashboards/react-dashboards,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
cresolution128/bitcoinlite-master,https://github.com/cresolution128/bitcoinlite-master,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
cresolution128/three.js-grass-anime,https://github.com/cresolution128/three.js-grass-anime,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
cresolution128/three.js-particle-animation,https://github.com/cresolution128/three.js-particle-animation,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
dhruviksavaliya1212/Quick_Bites,https://github.com/dhruviksavaliya1212/Quick_Bites,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
dmsfiris/fek-extractor,https://github.com/dmsfiris/fek-extractor,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
drewroberts/website,https://github.com/drewroberts/website,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
fxhash/chromium-extract,https://github.com/fxhash/chromium-extract,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
mu-majid/LLM-engineering-projects,https://github.com/mu-majid/LLM-engineering-projects,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
mu-majid/Microservices-Nodejs-React,https://github.com/mu-majid/Microservices-Nodejs-React,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
mu-majid/Node.JS-Self-Study-Projects,https://github.com/mu-majid/Node.JS-Self-Study-Projects,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
mu-majid/aws-k8s-platform-blueprint,https://github.com/mu-majid/aws-k8s-platform-blueprint,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
mu-majid/aws-lambda-ocr-service,https://github.com/mu-majid/aws-lambda-ocr-service,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
mu-majid/fp-stream,https://github.com/mu-majid/fp-stream,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
rutpshah/propflow,https://github.com/rutpshah/propflow,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
sahlminkok/react-quiz,https://github.com/sahlminkok/react-quiz,A,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
4jawalycom/sms4jawaly-flutter,https://github.com/4jawalycom/sms4jawaly-flutter,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Afzal-Iqbal/portfolio,https://github.com/Afzal-Iqbal/portfolio,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Anasarfeen123/Python-DSA-Udemy,https://github.com/Anasarfeen123/Python-DSA-Udemy,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Anasarfeen123/Wikirace,https://github.com/Anasarfeen123/Wikirace,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Anasarfeen123/campus-signal-mapper,https://github.com/Anasarfeen123/campus-signal-mapper,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Bipon-Dev/kpi-alumni-frontend,https://github.com/Bipon-Dev/kpi-alumni-frontend,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Gamage-Recruiters/EMS,https://github.com/Gamage-Recruiters/EMS,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Isaac-1-lang/GreenIQ,https://github.com/Isaac-1-lang/GreenIQ,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Isaac-1-lang/Real_time_chatting,https://github.com/Isaac-1-lang/Real_time_chatting,BC,NO (captured slice),representative downstream validated 2026-09-20,2026-09-18,2026-09-20
MMAHAD911313/langChain-langGraph-agentic-pipeline,https://github.com/MMAHAD911313/langChain-langGraph-agentic-pipeline,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
PERRINN/project-424-unity,https://github.com/PERRINN/project-424-unity,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
ProMoath/Simple-Task-Manager-System,https://github.com/ProMoath/Simple-Task-Manager-System,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
ProMoath/Uno-Frontend,https://github.com/ProMoath/Uno-Frontend,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
ProMoath/Uno-Website,https://github.com/ProMoath/Uno-Website,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/89yooo,https://github.com/Rakshi2609/89yooo,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/AI_CODE_REVIEWER,https://github.com/Rakshi2609/AI_CODE_REVIEWER,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/Auth_mircroservice,https://github.com/Rakshi2609/Auth_mircroservice,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/Calculator,https://github.com/Rakshi2609/Calculator,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/GAME_NEXT,https://github.com/Rakshi2609/GAME_NEXT,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/JurisAI,https://github.com/Rakshi2609/JurisAI,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/ML_practice,https://github.com/Rakshi2609/ML_practice,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/Mern-authentication,https://github.com/Rakshi2609/Mern-authentication,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/MindWell,https://github.com/Rakshi2609/MindWell,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/ShopHub,https://github.com/Rakshi2609/ShopHub,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/VisaVerse,https://github.com/Rakshi2609/VisaVerse,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/career-chatbot,https://github.com/Rakshi2609/career-chatbot,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/hack_1,https://github.com/Rakshi2609/hack_1,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/task-tapper,https://github.com/Rakshi2609/task-tapper,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/to_do_list,https://github.com/Rakshi2609/to_do_list,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Rakshi2609/web-craft,https://github.com/Rakshi2609/web-craft,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Talynk/talynk-management-frontend,https://github.com/Talynk/talynk-management-frontend,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Tanvir-Alam625/express-route-lens,https://github.com/Tanvir-Alam625/express-route-lens,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
Tanvir-Alam625/react-starter,https://github.com/Tanvir-Alam625/react-starter,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
alalUDDIN123/alalUDDIN123.github.io,https://github.com/alalUDDIN123/alalUDDIN123.github.io,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
dedev-llc/rpr,https://github.com/dedev-llc/rpr,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
draftpos/havano_schools_frappe,https://github.com/draftpos/havano_schools_frappe,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
farajshuaib/vue-starter-template,https://github.com/farajshuaib/vue-starter-template,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
kashif281/apso_flutter_sdk,https://github.com/kashif281/apso_flutter_sdk,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
micvitc/langbench,https://github.com/micvitc/langbench,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-18,2026-09-20
micvitc/mic-toolkit,https://github.com/micvitc/mic-toolkit,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
micvitc/splat-lab,https://github.com/micvitc/splat-lab,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
mostafizurhimself/admintoolkit-html,https://github.com/mostafizurhimself/admintoolkit-html,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
soumyaqqqqq/Dr_Help_2,https://github.com/soumyaqqqq/Dr_Help_2,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
tanushbhootra576/BrainScan,https://github.com/tanushbhootra576/BrainScan,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
tanushbhootra576/turbo-happiness,https://github.com/tanushbhootra576/turbo-happiness,BC,NO (captured slice),task + loader signature matched,2026-09-18,2026-09-20
wpeventmanager/wp-event-manager,https://github.com/wpeventmanager/wp-event-manager,D,NO (captured slice),downstream validated via identical D blob,2026-09-18,2026-09-20
wpeventmanager/wp-event-manager-migration,https://github.com/wpeventmanager/wp-event-manager-migration,D,NO (captured slice),downstream validated via identical D blob,2026-09-18,2026-09-20
wpeventmanager/wp-user-profile-avatar,https://github.com/wpeventmanager/wp-user-profile-avatar,D,NO (captured slice),downstream validated via identical D blob,2026-09-18,2026-09-20
wpeventmanager/wpem-rest-api,https://github.com/wpeventmanager/wpem-rest-api,D,NO (captured slice),downstream validated via identical D blob,2026-09-18,2026-09-20
NEBOLISA/copilot-task,https://github.com/NEBOLISA/copilot-task,OTHER / NEB → NullReceiver,NO (captured slice),task + loader fetched; downstream statically validated,2026-09-18,2026-09-20
SURUJ404/NFT-GAMEFY,https://github.com/SURUJ404/NFT-GAMEFY,OTHER / SURUJ JSONKeeper,NO (captured slice),static chain validated; exact dead-drop inactive 2026-09-20,2026-09-18,2026-09-20
vmobifystudio/app-dev-team,https://github.com/vmobifystudio/app-dev-team,OTHER / VMOBI historical anchor,NO (captured slice),historical loader fetched; fresh representative validated,2026-09-18,2026-09-20
JHK0723/MIC-JailbreakLLM,https://github.com/JHK0723/MIC-JailbreakLLM,STALE / BROKEN T2,NO (captured slice),task present; referenced payload absent,2026-09-18,2026-09-20
PinsaraPerera/Student_Attendace_System,https://github.com/PinsaraPerera/Student_Attendace_System,STALE / BROKEN T2,NO (captured slice),task present; referenced payload absent,2026-09-18,2026-09-20
Rakshi2609/BhagVirusHei,https://github.com/Rakshi2609/BhagVirusHei,STALE / BROKEN T2,NO (captured slice),task present; referenced payload absent,2026-09-18,2026-09-20
