indicator,indicator_type,first_seen,last_checked,evidence_state,current_state,related_repo,classification,evidence_ref
connectprivae.top,domain,2026-09-17,2026-09-20,INFERRED-CANDIDATE,REACHABLE,antonver/defiguard-dev,CANDIDATE-ACTIVE-SAME-TEMPLATE,iocs/recheck-2026-09-20.md
s.gy,domain,2026-09-18,2026-09-20,PROVEN,REACHABLE,,CANDIDATE-CONTEXT,iocs/recheck-2026-09-20.md
153.75.89.4,ip,2026-09-18,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-808X.md
153.75.94.94,ip,2026-09-18,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-808X.md
167.88.167.54,ip,2026-09-18,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-808X.md
185.53.179.136,ip,2026-09-13,2026-09-20,HISTORICAL,NOT_RECHECKED,TarsAI-net/AgentMesh,CANDIDATE-CONTEXT,iocs/recheck-2026-09-20.md
2.57.91.91,ip,2026-09-13,2026-09-20,HISTORICAL,NOT_RECHECKED,TarsAI-net/AgentMesh,CANDIDATE-CONTEXT,iocs/recheck-2026-09-20.md
216.198.79.65,ip,2026-09-13,2026-09-20,HISTORICAL,NOT_RECHECKED,TarsAI-net/AgentMesh,CANDIDATE-CONTEXT,iocs/recheck-2026-09-20.md
45.59.163.43,ip,2026-09-18,2026-09-20,PROVEN,REACHABLE,,CANDIDATE-CONTEXT,evidence/c2/C2-NULLRECEIVER.md
45.61.177.123,ip,2026-09-18,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
54.39.43.117,ip,2026-09-12,2026-09-20,INFERRED-CANDIDATE,TCP_REFUSED_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
54.39.43.118,ip,2026-09-12,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
54.39.43.119,ip,2026-09-12,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
64.29.17.1,ip,2026-09-13,2026-09-20,HISTORICAL,NOT_RECHECKED,TarsAI-net/AgentMesh,CANDIDATE-CONTEXT,iocs/recheck-2026-09-20.md
104.194.134.213:8085,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
104.194.134.213:8086,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
104.194.134.213:8087,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
141.94.148.37:1224,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
141.94.148.37:3333,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
141.94.148.39:3333,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
144.172.117.220:8085,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
144.172.117.220:8086,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
144.172.117.220:8087,ip_port,2026-09-17,2026-09-20,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
151.80.76.64:1224,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
151.80.76.64:3333,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
151.80.76.66:3333,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
151.80.76.67:3333,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
153.75.87.26:8085,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
153.75.87.26:8086,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
153.75.87.26:8087,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
153.75.89.4:8085,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
153.75.89.4:8086,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
153.75.89.4:8087,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
153.75.94.94:8085,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
153.75.94.94:8086,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
153.75.94.94:8087,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
167.88.167.54:8085,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
167.88.167.54:8086,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
167.88.167.54:8087,ip_port,2026-09-17,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-808X.md
51.178.11.179:1224,ip_port,2026-09-13,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
51.178.11.179:3333,ip_port,2026-09-13,2026-09-20,INFERRED-CANDIDATE,INDETERMINATE_FROM_EGRESS,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
51.178.11.186:1224,ip_port,2026-09-17,2026-09-20,PROVEN,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
51.178.11.187:1224,ip_port,2026-09-17,2026-09-20,PROVEN,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
51.210.52.212:3333,ip_port,2026-09-15,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
51.210.78.62:1224,ip_port,2026-09-18,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
51.210.78.62:3333,ip_port,2026-09-18,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,iocs/recheck-2026-09-20.md
51.210.78.63:1224,ip_port,2026-09-17,2026-09-20,PROVEN,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
