indicator,indicator_type,first_seen,last_checked,evidence_state,current_state,related_repo,classification,evidence_ref
orange-elephant-37703.zap.cloud,domain,2026-09-17,2026-09-20,PROVEN,NOT_CONTACTED_POLICY,Sabbirnde/Nava,CURRENT-DIRECT,evidence/c2/C2-NAVA.md
www.configs.live,domain,2026-09-20,2026-09-20,PROVEN,REACHABLE,chainbits13/realfraction,CURRENT-DIRECT,iocs/recheck-2026-09-20.md
138.226.247.152,ip,2026-09-17,2026-09-20,PROVEN,NOT_CONTACTED_POLICY,Sabbirnde/Nava,CURRENT-DIRECT,evidence/c2/C2-NAVA.md
144.172.110.154,ip,2026-09-18,2026-09-20,PROVEN,REACHABLE,RealJDEX/BrickFi,CURRENT-DIRECT,evidence/c2/C2-808X.md
166.88.134.75,ip,2026-09-18,2026-09-20,PROVEN,REACHABLE,VPRoyal/bloxhq,CURRENT-DIRECT,evidence/c2/C2-NULLRECEIVER.md
216.126.224.247,ip,2026-09-17,2026-09-20,PROVEN,NOT_RECHECKED,antonver/defiguard-dev,CURRENT-DIRECT,iocs/recheck-2026-09-20.md
138.226.247.152:443,ip_port,2026-09-17,2026-09-20,PROVEN,NOT_CONTACTED_POLICY,Sabbirnde/Nava,CURRENT-DIRECT,evidence/c2/C2-NAVA.md
138.226.247.152:80,ip_port,2026-09-17,2026-09-20,PROVEN,NOT_CONTACTED_POLICY,Sabbirnde/Nava,CURRENT-DIRECT,evidence/c2/C2-NAVA.md
144.172.110.154:8085,ip_port,2026-09-18,2026-09-20,PROVEN,REACHABLE,RealJDEX/BrickFi,CURRENT-DIRECT,evidence/c2/C2-808X.md
144.172.110.154:8086,ip_port,2026-09-18,2026-09-20,PROVEN,ROUTE_ABSENT (METHOD-SPECIFIC),RealJDEX/BrickFi,CURRENT-DIRECT,evidence/c2/C2-808X.md
144.172.110.154:8087,ip_port,2026-09-18,2026-09-20,PROVEN,ROUTE_ABSENT (METHOD-SPECIFIC),RealJDEX/BrickFi,CURRENT-DIRECT,evidence/c2/C2-808X.md
166.88.134.75:443,ip_port,2026-09-18,2026-09-20,PROVEN,REACHABLE,VPRoyal/bloxhq,CURRENT-DIRECT,evidence/c2/C2-NULLRECEIVER.md
166.88.134.75:80,ip_port,2026-09-18,2026-09-20,PROVEN,REACHABLE,VPRoyal/bloxhq,CURRENT-DIRECT,evidence/c2/C2-NULLRECEIVER.md
5.231.107.180:3000,ip_port,2026-09-17,2026-09-20,PROVEN,NOT_CONTACTED_POLICY,Sabbirnde/Nava,CURRENT-DIRECT,evidence/c2/C2-NAVA.md
51.210.52.212:1224,ip_port,2026-09-15,2026-09-20,PROVEN,REACHABLE,ritualaipro/MetaPlay; anshul-ind/MetaPlay-V2; Bluwhale-Company/BluSimulator ; same :1224 branch repos ; same gamboracle/AgentMesh branch,CURRENT-DIRECT,evidence/c2/C2-1224.md
93.127.134.237:3000,ip_port,2026-09-18,2026-09-20,PROVEN,TCP_REFUSED_FROM_EGRESS,furqan137/InfinityForce_BC,CURRENT-DIRECT,evidence/c2/C2-UNRESOLVED.md
http://138.226.247.152:80/session/0f2a3fba69d29493,url,2026-09-17,2026-09-20,PROVEN,NOT_CONTACTED_POLICY,Sabbirnde/Nava,CURRENT-DIRECT,evidence/c2/C2-NAVA.md
http://144.172.110.154:8085/upload,url,2026-09-18,2026-09-20,PROVEN,HOST_REACHABLE / ROUTE_NOT_CONTACTED,RealJDEX/BrickFi,CURRENT-DIRECT,evidence/c2/C2-808X.md
http://144.172.110.154:8086/upload,url,2026-09-18,2026-09-20,PROVEN,HOST_REACHABLE / ROUTE_NOT_CONTACTED,RealJDEX/BrickFi,CURRENT-DIRECT,evidence/c2/C2-808X.md
http://144.172.110.154:8087,url,2026-09-20,2026-09-20,PROVEN,ROUTE_ABSENT (METHOD-SPECIFIC),RealJDEX/BrickFi,CURRENT-DIRECT,evidence/c2/C2-808X.md
